para_id,doc_para_index,style,text
80,101,Normal,"What the spatial data does not show is a strong tendency for absolute convergence across SSA as a whole. The ratio between the highest and lowest comprehensive scores narrowed only marginally over the full period. Social sustainability showed the most genuine catch-up—even Central African countries improved significantly in this dimension—but economic and resource sustainability showed no convergence and, in the latter case, widened. This implies that relying on regional growth spillovers alone to close sustainability gaps will be insufficient. Policy interventions aimed at reducing regional disparities will need to be place-based, attentive to the specific combination of constraints facing each subregion, and targeted at the dimensions where gaps are widening rather than narrowing."
81,104,Normal,"These results are broadly consistent with, but also extend and sharpen, the existing empirical literature on African sustainable development. Bartniczak and Raszkowski (2019) documented overall improvement in African countries' sustainable development levels over 2002-2016 while finding persistently low absolute levels—a pattern our results confirm and extend to 2021. Dodoo et al. (2025), using an EESG framework for 24 African countries over 2000-2022, found that social and governance improvements outpaced economic and environmental progress. Our findings are consistent with this conclusion, but the present framework adds analytical precision by separating resource from ecological sustainability: what Dodoo et al. describe as environmental stagnation is, in our framework, decomposed into moderate ecological improvement and near-flat resource sustainability with increasing polarization. This distinction is consequential for policy because the interventions needed to improve formal ecological governance are substantially different from those needed to address resource dependence and extraction management."
82,105,Normal,"The findings also carry a methodological implication for the growing literature on the determinants of sustainable development in SSA. Research on FDI, governance, fiscal policy, and energy transitions increasingly seeks to explain sustainability outcomes rather than merely describe them (Aust et al., 2020; Hamid and AlObaid, 2025). The credibility of such causal analyses depends in part on the quality and regional suitability of the outcome measure. A composite index designed for global coverage—prioritizing breadth and international comparability—may systematically mischaracterize the sustainability profile of SSA countries by weighting indicators that are informative in other regional contexts but poorly suited to SSA's data environment and structural conditions. The region-adapted framework developed here offers a more stable and contextually grounded measurement basis for such analyses."
83,108,Normal,"Several limitations should be acknowledged. First, the indicator system is constrained by data availability. Variables that would strengthen the economic and resource dimensions—including R&D expenditure, waste and wastewater treatment coverage, transport infrastructure quality, and disaggregated resource-use efficiency measures—could not be consistently compiled across countries and years. Second, linear interpolation was applied for a limited share of missing values. While interpolation improves panel completeness, it may smooth over genuine country-specific volatility, particularly in years affected by conflict, political disruption, or data discontinuities. Third, the paper focuses on measurement and spatiotemporal description; it does not test for spatial autocorrelation, estimate club convergence, or identify causal drivers of the patterns observed. Fourth, the comprehensive index score conceals heterogeneity at the indicator level: a country ranked mid-table on the composite index may have radically different strengths and vulnerabilities across its four subsystems. Indicator-level decomposition at the country level would be a valuable complement to the cross-country analysis offered here. These limitations point to clear avenues for future research."
84,109,Heading 1,5. Conclusions
85,110,Normal,"This paper opened with a paradox: SSA registered some of the most rapid social improvements observed anywhere in the developing world over 2001-2021, yet close to half its countries experienced declining economic sustainability, resource-related disparities widened, and ecological gains were driven more by conservation commitments than by reduced extraction pressure. The composite SDI developed here was designed to detect this divergence by separating resource from ecological sustainability, by calibrating indicators to SSA's structural conditions, and by maintaining data coverage across a 20-year panel. The results confirm that the paradox is real and quantifiable."
86,111,Normal,"Three findings stand out. Overall, sustainable development improved: the regional mean SDI score rose by 17.99% and 44 of 45 countries gained on the comprehensive index. Yet this aggregate progress masked a pronounced divergence: social sustainability rose by 60.6% across all 45 countries, while economic sustainability rose by only 6.8% and declined in 19; resource sustainability stagnated and cross-country polarization widened; ecological sustainability improved moderately but through conservation gains rather than reduced extraction pressure. Spatial disparities persisted throughout, with Southern Africa leading and Central Africa lagging in a subregional hierarchy that proved structurally stable over the full period."
87,112,Normal,"These findings carry a clear message for policy. Aggregate SDI progress is real, but it should not be read as evidence that SSA's development model has become uniformly more sustainable. The social gains of 2001-2021 were achieved largely through expanded access to services—much of it financed through external resources or commodity revenues rather than through a deepening of the productive base. Sustaining them will require converting past social progress into a more resilient economic foundation. Four priorities appear especially important. First, economic sustainability demands attention to development quality—structural diversification, industrial upgrading, and productivity growth—not merely to aggregate growth rates. Second, the social gains already achieved must be consolidated through continued investment in electrification, digital infrastructure, public health, and gender equity. Third, resource governance must improve so that extraction rents support long-run productive and social capacity rather than short-term consumption. Fourth, policies should be place-based: Southern, Western, Eastern, and Central Africa face different combinations of constraints and starting points, and strategies calibrated for one subregion will not transfer automatically to others."
88,113,Normal,"For the research community, the findings underscore that how sustainable development is measured in SSA matters. Official SDG scoreboards are indispensable for global benchmarking, but they are not always adequate for detecting region-specific dynamics over long time horizons under severe data constraints. The two-stage CRITIC index developed here provides a credible and practical alternative: its Spearman rank correlation with an equal-weight specification reaches 0.982, confirming that the main findings are not artifacts of the weighting scheme. Future research can build on this framework by estimating spatial autocorrelation and club convergence, incorporating institutional indicators as they become more consistently available for SSA, or using the composite index as an outcome in causal analyses of FDI, fiscal policy, and energy transition effects."
89,114,Normal,"SSA's sustainability trajectory over 2001-2021 was not uniformly positive. It was a story of rapid social progress built on a fragile economic foundation, of conservation advances alongside persistent resource pressure, and of aggregate improvement that concealed growing internal divergence across subsystems and subregions. The central challenge ahead is not to preserve that aggregate improvement, but to rebalance it."
90,115,Normal,Appendix A. Missing-Data Transparency
91,116,Normal,"The missing-data diagnostics are calculated for the final 37-indicator panel covering 45 SSA countries from 2001 to 2021. The denominator is therefore 945 country-year observations for each indicator. Linear interpolation is applied within countries and indicators when sufficient observed values are available. After interpolation, a country-year observation is retained for SDI comparison only if at least 80% of indicators are available. The minimum post-interpolation coverage is 30 out of 37 indicators, or 81.08%, so no country-year observation is excluded by this threshold."
92,117,表格,Table A1. Missing observations and interpolation share by indicator
93,119,Normal,Table A2. Countries with the largest data gaps
94,121,Normal,"Table B. Country rankings by composite sustainable development index score, 2001 and 2021"
95,122,Normal,"Notes: SDI scores are scaled 0-100. Change (%) = percentage change from 2001 to 2021. Region: Southern (S), Western (W), Eastern (E), Central (C) Africa."
96,124,Normal,Table C. Indicator weights derived from the two-stage CRITIC procedure
97,125,Normal,Notes: Within-dim. weight = CRITIC weight within each dimension (sums to 100% per dimension). Global weight = dimension weight (25%) × within-dim. weight (sums to 100% across all indicators). Sources: WDI = World Bank World Development Indicators; FAO = Food and Agriculture Organization; EIA = U.S. Energy Information Administration; Yale EPI = Yale Environmental Performance Index; IMF Climate = IMF Climate Change Dashboard.
98,127,Normal,References
99,128,Normal,"African Union Commission, African Development Bank, United Nations Development Programme, and United Nations Economic Commission for Africa. (2024). Africa Sustainable Development Report 2024. Addis Ababa/Abidjan/New York. https://au.int/en/documents/20240101/africa-sustainable-development-report-2024"
100,129,Normal,"Aust, V., Morais, A. I., and Pinto, I. (2020). How does foreign direct investment contribute to Sustainable Development Goals? Evidence from African countries. Journal of Cleaner Production, 245, 118823. https://doi.org/10.1016/j.jclepro.2019.118823"
101,130,Normal,"Bartniczak, B., and Raszkowski, A. (2019). Sustainable development in African countries: An indicator-based approach and recommendations for the future. Sustainability, 11(1), 22. https://doi.org/10.3390/su11010022"
102,131,Normal,"Bolcárová, P., and Kološta, S. (2015). Assessment of sustainable development in the EU 27 using aggregated SD index. Ecological Indicators, 48, 699-705. https://doi.org/10.1016/j.ecolind.2014.09.003"
103,132,Normal,"Costanza, R., d'Arge, R., de Groot, R., Farber, S., Grasso, M., Hannon, B., Limburg, K., Naeem, S., O'Neill, R. V., Paruelo, J., Raskin, R. G., Sutton, P., and van den Belt, M. (1997). The value of the world's ecosystem services and natural capital. Nature, 387, 253-260."
104,133,Normal,CSD (UN Commission on Sustainable Development). (2003). Indicators of Sustainable Development: Guidelines and Methodologies (2nd ed.). United Nations.
105,134,Normal,CSD (UN Commission on Sustainable Development). (1996). Indicators of Sustainable Development: Framework and Methodologies. United Nations.
106,135,Normal,"Daly, H. E. (1990). Toward some operational principles of sustainable development. Ecological Economics, 2(1), 1-6."
107,136,Normal,"Diakoulaki, D., Mavrotas, G., and Papayannakis, L. (1995). Determining objective weights in multiple criteria problems: The CRITIC method. Computers & Operations Research, 22(7), 763-770. https://doi.org/10.1016/0305-0548(94)00059-H"
108,137,Normal,"Dodoo, A. N., Ko, J., Ma, Y., et al. (2025). Revisiting sustainable development in Africa through a national economic environmental social and governance perspective. Discover Sustainability, 6, 1426. https://doi.org/10.1007/s43621-025-01426-5"
109,138,Normal,EEA (European Environment Agency). (1998). Europe's Environment: The Second Assessment. Elsevier Science.
110,139,Normal,"Hamid, A., and AlObaid, R. O. H. (2025). Achieving sustainable development goals: do governance and foreign direct investment matter? Humanities and Social Sciences Communications, 12, 1727. https://doi.org/10.1057/s41599-025-05268-8"
111,140,Normal,"Hickel, J. (2020). The sustainable development index: Measuring the ecological efficiency of human development in the Anthropocene. Ecological Economics, 167, 106331. https://doi.org/10.1016/j.ecolecon.2019.106331"
112,141,Normal,"Koppa, E. T., et al. (2023). A systematic literature review on local sustainability assessment processes for infrastructure development projects in Africa. Sustainability, 15(2), 1013. https://doi.org/10.3390/su15021013"
113,142,Normal,"Nhemachena, C., Matchaya, G., Nhemachena, C. R., Karuaihe, S., Muchara, B., and Nhlengethwa, S. (2018). Measuring baseline agriculture-related sustainable development goal indices for Southern Africa. Sustainability, 10(3), 849."
114,143,Normal,OECD. (1994). Environmental Indicators: OECD Core Set. OECD Publications.
115,144,Normal,"Pearce, D. W., and Turner, R. K. (1990). Economics of Natural Resources and the Environment. Johns Hopkins University Press."
116,145,Normal,"Peng, Y., and Zhang, H. (2022). Global sustainable development evaluation methods with multiple-dimensional: Sustainable development index. Frontiers in Environmental Science, 10, 957095. https://doi.org/10.3389/fenvs.2022.957095"
117,146,Normal,"Rapport, D. J., Regier, H. A., and Hutchinson, T. C. (1979). Ecosystem behavior under stress. American Naturalist, 114(3), 617-640."
118,147,Normal,"Sachs, J. D., Lafortune, G., Fuller, G., and Iablonovski, G. (2025). Sustainable Development Report 2025: Financing Sustainable Development to 2030 and Mid-Century. Paris: SDSN; Dublin: Dublin University Press. https://www.sustainabledevelopment.report"
119,148,Normal,"Sachs, J. D., Schmidt-Traub, G., Kroll, C., Lafortune, G., and Fuller, G. (2016). SDG Index and Dashboards: Global Report. Bertelsmann Stiftung and Sustainable Development Solutions Network. https://www.sdgindex.org"
120,149,Normal,SDG Center for Africa. (2018). Africa SDG Index and Dashboards Report 2018. SDG Center for Africa.
121,150,Normal,SDG Center for Africa. (2019). Africa SDG Index and Dashboards Report 2019. SDG Center for Africa.
122,151,Normal,SDG Center for Africa. (2020). Africa SDG Index and Dashboards Report 2020. SDG Center for Africa.
123,152,Normal,"Silverman, B. W. (1998). Density Estimation for Statistics and Data Analysis. Chapman & Hall/CRC."
124,153,Normal,United Nations. (2005). The Millennium Development Goals Report 2005. United Nations.
125,154,Normal,United Nations. (2015). Transforming Our World: The 2030 Agenda for Sustainable Development. United Nations. https://sdgs.un.org/2030agenda
126,155,Normal,UNU-IHDP and UNEP. (2014). Inclusive Wealth Report 2014: Measuring Progress Toward Sustainability. Cambridge University Press.
127,156,Normal,"Wackernagel, M., and Rees, W. (1996). Our Ecological Footprint: Reducing Human Impact on the Earth. New Society Publishers."
128,157,Normal,WCED (World Commission on Environment and Development). (1987). Our Common Future. Oxford University Press.
129,158,Normal,World Bank. (1997). Expanding the Measure of Wealth: Indicators of Environmentally Sustainable Development. World Bank. https://documents.worldbank.org/en/publication/documents-reports/documentdetail/517821468762070512
